guarani_spelling,standard_spanish,source,batch_occurrences,example_utterance_index
aakompaña,acompañá,reallm,1,[1899]
aca,acá,reallm_pass2,1,[183]
adolesénte,adolescente,reallm_pass2,1,2480
agueru,agüero,reallm_pass2,1,[460]
ahi,ahí,reallm_pass2,1,[2330]
ajúda,ayuda,reallm_pass2,1,2343
algúno,alguno,reallm,1,[377]
alúmno,alumno,reallm,1,[2914]
amíga,amiga,reallm_pass2,1,[2215]
amígo,amigo,reallm,1,[48]
apórte,aporte,reallm,1,[107]
arróyo,arroyo,reallm,1,[32]
colecionaba,coleccionaba,reallm,1,[893]
crie,críe,reallm,1,[668]
derécho,derecho,reallm_pass2,1,1441
desástre,desastre,reallm_pass2,1,1873
dies,diez,reallm_pass2,1,[772]
diesiséi,dieciséis,manual_fix,1,1783
diplóma,diploma,reallm,1,2596
diréktamente,directamente,reallm,1,[1379]
do,dos,manual_fix,1,1428
dróga,droga,reallm,1,2596
edukasion,educación,known+reallm,1,seed
edukasyon,educación,reallm,1,[337]
eho,echo,reallm,1,1791
ekree,cree,known,0,seed
enserio,en serio,known+reallm,1,seed
entonse,entonces,manual_fix,1,1796
entéro,entero,reallm_pass2,1,1443
entónse,entonces,reallm,1,[120]
ermano,hermano,manual_fix,1,669
eskuela,escuela,known,0,seed
eskuéla,escuela,reallm,4,[30]
eskína,esquina,reallm,1,[32]
estudiáa,estudiaba,reallm,1,[1055]
exklavisante,esclavizante,known,0,seed
família,familia,manual_fix,1,1356
fasilidad,facilidad,reallm,1,779
funsión,función,reallm,1,[1820]
galléta,galleta,reallm,1,[440]
govierno,gobierno,reallm,1,2843
goviérno,gobierno,reallm,3,[30]
grádo,grado,reallm_pass2,1,[104]
grátis,gratis,manual_fix,1,1383
huventu,juventud,reallm_pass2,1,2480
hénte,gente,reallm_pass2,1,1886
hóvene,joven,reallm_pass2,1,2480
igualnte,igualmente,reallm,1,2886
iguálnte,igualmente,reallm,2,[131]
inklusive,inclusive,reallm_pass2,1,[2895]
inklusíve,inclusive,reallm,1,[3139]
inundasion,inundación,reallm,1,[1449]
kada,cada,reallm,1,[743]
kadeníta,cadenita,reallm,1,[103]
kamion,camión,reallm_pass2,2,1380
kampaña,campaña,reallm,1,[2211]
kastelláno,castellano,reallm,3,[48]
kavaju,caballo,known+reallm,1,seed
kiosco,quiosco,reallm,1,[152]
kolegio,colegio,reallm,1,[1447]
kolehiooi,colegio,reallm,1,2188
kolégio,colegio,reallm,1,2838
koléhio,colegio,reallm,1,2188
komandánte,comandante,reallm_pass2,1,[484]
kompañéro,compañero,reallm_pass2,2,[670]
kompléto,completo,reallm_pass2,1,[690]
komunikador,comunicador,reallm,1,1427
kondision,condición,reallm,1,1427
konfiánsa,confianza,reallm,1,1333
konsekuénsia,consecuencia,manual_fix,1,1329
kosinéra,cocinera,reallm,1,2277
kostílla,costilla,reallm,1,[456]
kualkier,cualquiera,reallm,1,[1768]
kuatro,cuatro,reallm,2,[2267]
kurepa,cuerpo,reallm,1,[1865]
kurepas,cuerpos,reallm,1,1415
kuánto,cuanto,reallm,1,2525
kuátro,cuatro,reallm,1,[85]
kuére,quieres,reallm,1,763
káda,cada,reallm,1,[441]
kálle,calle,reallm,1,2908
kárro,carro,reallm,1,2137
kárta,carta,reallm_pass2,1,3271
kási,casi,reallm_pass2,1,1400
kínse,quince,reallm,1,1425
kósa,cosa,reallm,6,[91]
kúlpa,culpa,reallm_pass2,2,[1855]
lavarropa,lavar ropa,reallm,1,1311
lokutor,locutor,reallm_pass2,1,[722]
ládo,lado,manual_fix,1,1335
major,mayor,reallm,1,1426
manteni,mantener,reallm,1,[661]
mas,más,manual_fix,5,1831
mediánte,mediante,reallm_pass2,1,1450
