utt_id,session,start_time,end_time,duration,quality_codes,flags,category,split
tr-006_00818,tr-006,2339.09,2347.85,8.76,Good,TMC,spanish_only,train
tr-006_01061,tr-006,3696.52,3704.801,8.281,Good,,mixed,train
tr-005_00379,tr-005,3079.371,3088.756,9.385,EXC,BLK,,
tr-006_00682,tr-006,1452.002,1460.251,8.249,CRT-A,,jehe'a,train
tr-011_03180,tr-011,2475.399,2485.694,10.295,MTS,"TMC,NSY",mixed,
tr-009_02173,tr-009,1667.325,1678.37,11.045,Good,"TMC,NSY",jehe'a,dev
tr-008_01789,tr-008,1824.297,1835.522,11.225,MTS,"TMC,SPL",jehe'a,
tr-010_02514,tr-010,862.378,873.383,11.005,Good,SPL,jehe'a,train
tr-008_01965,tr-008,3232.24,3241.562,9.322,EXC,,,
tr-009_02033,tr-009,272.515,283.879,11.364,MTS,TMC,jehe'a,
tr-006_00764,tr-006,2010.03,2017.23,7.2,Good,,spanish_only,dev
tr-008_01940,tr-008,3037.94,3046.302,8.362,MTS,SPL,mixed,
tr-011_02855,tr-011,72.682,79.287,6.605,MTS,,mixed,
tr-009_02242,tr-009,2302.5,2310.28,7.78,MTS,NSY,mixed,
tr-009_02092,tr-009,919.018,929.147,10.129,"MTS,CRT-D",BLK,jehe'a,
tr-008_01719,tr-008,1328.104,1336.188,8.084,MTS,,mixed,
tr-008_01630,tr-008,636.61,642.866,6.256,MTS,BCO,mixed,
tr-010_02523,tr-010,905.748,916.878,11.13,Good,"SPL,TMC",mixed,train
tr-009_02266,tr-009,2464.575,2473.96,9.385,"MTS,CRT-A",TMC,spanish_only,
tr-009_02212,tr-009,2012.926,2019.73,6.804,CRT-A,,jehe'a,train
tr-010_02656,tr-010,1836.47,1847.425,10.955,Good,,mixed,train
tr-010_02513,tr-010,851.17,862.378,11.208,MTS,SPL,jehe'a,
tr-010_02816,tr-010,3096.061,3104.131,8.07,CRT-A,,spanish_only,train
tr-007_01226,tr-007,1201.35,1212.11,10.76,Good,NSY,mixed,train
tr-011_02990,tr-011,1044.734,1050.264,5.53,MTS,TMC,mixed,
tr-007_01359,tr-007,2302.578,2313.863,11.285,Good,,mixed,train
tr-008_01796,tr-008,1916.353,1927.859,11.506,CRT-A,TMC,jehe'a,train
tr-008_01661,tr-008,846.385,859.959,13.574,"MTS,CRT-D",BLK,spanish_only,
tr-008_01671,tr-008,932.52,937.925,5.405,MTS,,mixed,
tr-011_03193,tr-011,2613.085,2618.427,5.342,MTS,BCO,spanish_only,
tr-008_01955,tr-008,3155.379,3168.119,12.74,CRT-D,"BLK,NSY",jehe'a,dev
tr-011_03110,tr-011,1986.677,1991.168,4.491,Good,,mixed,test
tr-007_01215,tr-007,1061.95,1075.715,13.765,Good,"TMC,NSY",jehe'a,test
tr-010_02533,tr-010,968.878,980.523,11.645,Good,"SPL,NSY,TMC",mixed,train
tr-009_02319,tr-009,2845.942,2859.358,13.416,CRT-A,NSY,mixed,dev
tr-008_01838,tr-008,2244.197,2253.653,9.456,MTS,TMC,mixed,
tr-006_00589,tr-006,787.93,797.96,10.03,Good,,mixed,train
tr-005_00245,tr-005,1938.171,1946.006,7.835,CRT-D,,mixed,train
tr-010_02497,tr-010,753.163,762.138,8.975,MTS,SPL,jehe'a,
tr-010_02454,tr-010,398.368,408.408,10.04,Good,,jehe'a,test
tr-006_00945,tr-006,3048.34,3056.46,8.12,Good,SPL,mixed,dev
tr-008_01740,tr-008,1481.18,1488.959,7.779,MTS,,mixed,
tr-009_02024,tr-009,217.745,229.093,11.348,MTS,"NSY,TMC,SPL",jehe'a,
