clip_id,split_files
common_voice_gn_26354844,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26354867,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26354942,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26354943,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26354944,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26354945,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26355008,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26356497,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26356521,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26356530,dev_guarani_only
common_voice_gn_26356537,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26356539,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26356575,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357917,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357919,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357962,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357963,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357972,dev_guarani_only
common_voice_gn_26357973,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357975,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357982,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357984,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357992,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357993,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26357994,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26376315,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26378349,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
common_voice_gn_26378350,train_cv_cegpa;train_cv_cegpa_up2;train_cv_cegpa_up3;train_guarani_only
